AY738812,58189939,A
AY738814,58189943,A
AY738815,58189945,A
AY738816,58189947,A
AY738817,58189949,A
AY738818,58189951,A
AY738819,58189953,A
AY738820,58189955,A
AY738821,58189957,A
AY738822,58189959,A
AY739216,58189961,F
AY739217,58189963,F
AY738823,58189965,C
AY738824,58189967,C
AY738825,58189969,C
AY738826,58189971,C
AY738827,58189973,C
AY738829,58189977,C
AY738830,58189979,C
AY738831,58189981,C
AY738833,58189985,C
AY738834,58189987,C
AY738836,58189991,C
AY738837,58189993,C
AY738838,58189995,C
AY738839,58189997,C
AY738840,58189999,C
AY738842,58190003,C
AY738843,58190005,C
AY738844,58190007,C
AY738846,58190011,C
AY738847,58190013,C
AY738848,58190015,D
AY738849,58190017,D
AY738850,58190019,D
AY738851,58190021,D
AY738852,58190023,D
AY738853,58190025,D
AY738854,58190027,D
AY738855,58190029,D
AY738856,58190031,D
AY738857,58190033,D
AY738858,58190035,D
AY738859,58190037,D
AY738860,58190039,D
AY738861,58190041,D
AY738862,58190043,D
AY738863,58190045,D
AY738864,58190047,D
AY738865,58190049,D
AY738866,58190051,D
AY738867,58190053,D
AY738868,58190055,D
AY738869,58190057,D
AY738870,58190059,D
AY738871,58190061,D
AY738872,58190063,D
AY738873,58190065,D
AY738874,58190067,D
AY738875,58190069,D
AY738876,58190071,D
AY738877,58190073,D
AY738878,58190075,D
AY738879,58190077,D
AY738880,58190079,D
AY738881,58190081,D
AY738882,58190083,D
AY738883,58190085,D
AY738884,58190087,D
AY738885,58190089,D
AY738886,58190091,D
AY738887,58190093,D
AY738888,58190095,D
AY738889,58190097,D
AY738890,58190099,D
AY738891,58190101,D
AY738892,58190103,D
AY738893,58190105,D
AY738894,58190107,D
AY738895,58190109,D
AY738896,58190111,D
AY738897,58190113,D
AY738898,58190115,D
AY738899,58190117,D
AY738900,58190119,D
AY738901,58190121,D
AY738902,58190123,D
AY738903,58190125,D
AY738904,58190127,D
AY738905,58190129,D
AY738906,58190131,D
AY738907,58190133,D
AY738908,58190135,D
AY738909,58190137,D
AY738910,58190139,D
AY738911,58190141,D
AY738912,58190143,D
AY738913,58190145,D
AY738914,58190147,D
AY738915,58190149,D
AY738916,58190151,D
AY738918,58190155,E
AY738919,58190157,E
AY738920,58190159,E
AY738921,58190161,E
AY738922,58190163,E
AY738923,58190165,E
AY738924,58190167,E
AY738925,58190169,E
AY738926,58190171,B
AY738927,58190173,B
AY738928,58190175,B
AY738929,58190177,B
AY738930,58190179,B
AY738931,58190181,B
AY738932,58190183,B
AY738933,58190185,B
AY738934,58190187,B
AY738935,58190189,B
AY738936,58190191,B
AY738937,58190193,B
AY738938,58190195,B
AY738939,58190197,B
AY879184,58531656,D
AY879186,58531660,D
AY879187,58531662,D
AY879189,58531666,D
AY879190,58531668,D
AY879198,58531684,C
AY879200,58531688,C
AY879202,58531692,C
AY879205,58531698,C
AY879207,58531702,C
AY879210,58531708,C
